CODIGO;NOMBRE
469;"ACCESORIO DE ALMACENAMIENTO - BANDEJA HDD/SSD - GENÉRICO - CADDY 9.5MM PARA BAHÍA ÓPTICA - CONVERSIÓN SATA, UNIDAD 2.5"" - DU-8A5LH"
537;ACCESORIO DE AUDIO - TARJETA DE SONIDO EXTERNA - ELLOGEAR - GENÉRICO - USB 2.0, ENTRADA/SALIDA 3.5MM, PLUG AND PLAY - B09XGQ61TG
74;CABLE Y ADAPTADOR - ADAPTADOR DE IMPRESORA - PRIARI - GENÉRICO - USB A IEEE 1284 DB36, CABLE 0.8M - B0CJ82LP2D
194;ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - BENFEI - GENÉRICO - DISPLAYPORT A HDMI, 1080P@60HZ, AUDIO - B017Q8ZVWK
956;ACCESORIO ELÉCTRICO - ADAPTADOR DE ENCHUFE - OPALUX - OP-603-A3 - 3 ESPIGAS A 2 PLANA, 10A 250V - OP-603-A3
300;ACCESORIO DE VIDEO - ADAPTADOR CON AUDIO - DELUXE - ER-9 - HDMI A VGA, CONEXIÓN DE AUDIO AUXILIAR 3.5MM - SIN N/P
76;ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - GENÉRICO - GENÉRICO - HDMI A VGA, CONVERSIÓN DIGITAL-ANALÓGICA - SIN N/P
796;ACCESORIO DE RED - ADAPTADOR DE RED USB - D-LINK - DUB-1312 - USB 3.0 A RJ-45 GIGABIT ETHERNET - SIN N/P
867;ACCESORIO DE RED - ADAPTADOR DE RED USB - XTECH - XTC-375 - USB 3.0 A RJ-45 ETHERNET 10/100/1000 - SIN N/P
436;CABLE Y ADAPTADOR - ADAPTADOR OTG - GENÉRICO - GENÉRICO - V8 (MICRO USB) A USB TIPO A, PARA DISPOSITIVOS ANDROID - SIN N/P
806;ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - XTECH - XTC-363 - HDMI MACHO A VGA HEMBRA, RESOLUCIÓN 1080P@60HZ - SIN N/P
