===Base de datos stocksekai

== Estructura de tabla para la tabla products_backup_nombres_20260108

|------
|Columna|Tipo|Nulo|Predeterminado
|------
|id|bigint(20)|No|0
|codigo|varchar(255)|No|
|producto|varchar(255)|No|
|updated_at|timestamp|Sí|NULL
== Volcado de datos para la tabla products_backup_nombres_20260108

|3901|469|ACCESORIO DE ALMACENAMIENTO - BANDEJA HDD/SSD - GENÉRICO - CADDY 9.5MM PARA BAHÍA ÓPTICA - CONVERSIÓN SATA, UNIDAD 2.5&quot; - DU-8A5LH|2026-01-08 11:46:54
|3902|537|ACCESORIO DE AUDIO - TARJETA DE SONIDO EXTERNA - ELLOGEAR - GENÉRICO - USB 2.0, ENTRADA/SALIDA 3.5MM, PLUG AND PLAY - B09XGQ61TG|2026-01-08 11:29:15
|3903|74|CABLE Y ADAPTADOR - ADAPTADOR DE IMPRESORA - PRIARI - GENÉRICO - USB A IEEE 1284 DB36, CABLE 0.8M - B0CJ82LP2D|2026-01-08 11:29:15
|3905|194|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - BENFEI - GENÉRICO - DISPLAYPORT A HDMI, 1080P@60HZ, AUDIO - B017Q8ZVWK|2026-01-08 11:29:15
|3906|956|ACCESORIO ELÉCTRICO - ADAPTADOR DE ENCHUFE - OPALUX - OP-603-A3 - 3 ESPIGAS A 2 PLANA, 10A 250V - OP-603-A3|2026-01-08 11:29:15
|3907|300|ACCESORIO DE VIDEO - ADAPTADOR CON AUDIO - DELUXE - ER-9 - HDMI A VGA, CONEXIÓN DE AUDIO AUXILIAR 3.5MM - SIN N/P|2026-01-08 11:29:15
|3908|76|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - GENÉRICO - GENÉRICO - HDMI A VGA, CONVERSIÓN DIGITAL-ANALÓGICA - SIN N/P|2026-01-08 11:29:15
|3909|796|ACCESORIO DE RED - ADAPTADOR DE RED USB - D-LINK - DUB-1312 - USB 3.0 A RJ-45 GIGABIT ETHERNET - SIN N/P|2026-01-08 11:29:15
|3910|867|ACCESORIO DE RED - ADAPTADOR DE RED USB - XTECH - XTC-375 - USB 3.0 A RJ-45 ETHERNET 10/100/1000 - SIN N/P|2026-01-08 11:29:15
|3911|436|CABLE Y ADAPTADOR - ADAPTADOR OTG - GENÉRICO - GENÉRICO - V8 (MICRO USB) A USB TIPO A, PARA DISPOSITIVOS ANDROID - SIN N/P|2026-01-08 11:29:15
|3912|806|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - XTECH - XTC-363 - HDMI MACHO A VGA HEMBRA, RESOLUCIÓN 1080P@60HZ - SIN N/P|2026-01-08 11:29:15
|3913|557|CABLE Y ADAPTADOR - ADAPTADOR DE VIDEO - GENÉRICO - GENÉRICO - HDMI HEMBRA A HEMBRA (COUPLER), FULL HD 1080P - SIN N/P|2026-01-08 11:29:15
|3914|421|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - HP - 752661-004 - DISPLAYPORT A VGA, RESOLUCIÓN 1920X1200 - SIN N/P|2026-01-08 11:29:15
|3915|1112|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - JETION - GENÉRICO - HDMI A USB 3.0 HEMBRA, CONVERSIÓN CAPTURA, HDCP - SIN N/P|2026-01-08 11:29:15
|3916|484|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - XTECH - XTC-550 - USB TIPO C A VGA HEMBRA (20CM), RESOLUCIÓN 1080P - SIN N/P|2026-01-08 11:29:15
|3917|515|ACCESORIO DE VIDEO - ADAPTADOR MULTIPUERTO - XTECH - XTC-565 - USB TIPO C 3-EN-1 (HDMI, USB 3.0, USB-C CARGA) - SIN N/P|2026-01-08 11:29:15
|3918|1151|TARJETA DE EXPANSIÓN - TARJETA DE PUERTOS SERIALES - ENCORE - EN-PCIE-2S - PCIE X1, 2 PUERTOS RS-232 (DB9) - SIN N/P|2026-01-08 11:29:15
|3919|665|TARJETA DE EXPANSIÓN - TARJETA DE RED INALÁMBRICA - TP-LINK - ARCHER TX3000E - PCIE WI-FI 6 AX3000, BLUETOOTH 5.0 - SIN N/P|2026-01-08 11:29:15
|3920|701|TARJETA DE EXPANSIÓN - TARJETA DE RED INALÁMBRICA - TP-LINK - ARCHER TX55E - PCIE WI-FI 6 AX3000, BLUETOOTH 5.2 - 0152502373|2026-01-08 11:29:15
|3921|729|ACCESORIO PARA VEHÍCULO - SOPORTE UNIVERSAL - TCH - TCH059 - SOPORTE PARA ESPEJO RETROVISOR, AJUSTABLE - SIN N/P|2026-01-08 11:29:15
|3922|667|TARJETA DE EXPANSIÓN - TARJETA DE EXPANSIÓN USB - SSU - GENÉRICO - MULTIPLICADOR PCIE X1 A 4 PUERTOS USB 3.0 - SIN N/P|2026-01-08 11:29:15
|3923|773|ACCESORIO DE RED - ADAPTADOR DE RED USB - TP-LINK - ARCHER T2UB NANO - USB AC600, DOBLE BANDA, BLUETOOTH 4.2 - SIN N/P|2026-01-08 11:29:15
|3924|810|TARJETA DE EXPANSIÓN - TARJETA DE RED INALÁMBRICA - TP-LINK - ARCHER T4E - PCIE WI-FI, DOBLE BANDA, 2 ANTENAS - SIN N/P|2026-01-08 11:29:15
|3925|75|ACCESORIO DE RED - ADAPTADOR DE RED USB - TP-LINK - TL-WN822N - USB WIRELESS N300 (802.11B/G/N), 2.4GHZ - SIN N/P|2026-01-08 11:29:16
|3926|772|ACCESORIO DE RED - ADAPTADOR BLUETOOTH - TP-LINK - UB500 - USB BLUETOOTH 5.3, ALCANCE 20M, PARA PC/LAPTOP - SIN N/P|2026-01-08 11:29:16
|3927|835|ACCESORIO DE VIDEO - ADAPTADOR DE VIDEO - GENÉRICO - GENÉRICO - VGA MACHO A DVI-D HEMBRA, CONVERSIÓN ANALÓGICA-DIGITAL - SIN N/P|2026-01-08 11:29:16
|3928|1032|ACCESORIO DE RED - ADAPTADOR DE RED USB - GENÉRICO - GENÉRICO - USB WIFI BANDA DUAL (2.4 Y 5.0 GHZ), PLUG AND PLAY - SIN N/P|2026-01-08 11:29:16
|3929|180|CABLE Y ADAPTADOR - ADAPTADOR DE VIDEO - XTECH - XTC-333 - HDMI HEMBRA A HEMBRA (COUPLER), FULL HD - SIN N/P|2026-01-08 11:29:16
|3930|90|SERVICIO - ADELANTO DE PEDIDO - N/A - N/A - RESERVA O PAGO ANTICIPADO - N/A|2026-01-08 11:29:16
|3931|411|PRODUCTO DE LIMPIEZA - SANITIZANTE - ORION - GENÉRICO - ALCOHOL GEL SANITIZANTE, 1000 ML (1 LT) - SIN N/P|2026-01-08 11:29:16
|3932|1118|PRODUCTO DE LIMPIEZA - SOLVENTE - BRISOL - GENÉRICO - ALCOHOL ISOPROPÍLICO 99%, PARA LIMPIEZA ELECTRÓNICA - SIN N/P|2026-01-08 11:29:16
|3933|680|COMPUTADORA - ALL-IN-ONE - HP - 200 G4 22 - 21.5&quot; FHD, I5-10210U, 8GB DDR4, 1TB HDD, WINDOWS 10 PRO - 193L6LT#ABM|2026-01-08 11:29:16
|3934|593|ACCESORIO DE RED - ANTENA WIFI - GENÉRICO - GENÉRICO - ANTENA WIFI USB 2.0 802.11N, CONECTOR RP-SMA - SIN N/P|2026-01-08 11:29:16
|3935|633|SOFTWARE - ANTIVIRUS - ESET - NOD32 ANTIVIRUS - LICENCIA 1 PC 2X1 (2025+2026) + 1 LIC. MÓVIL - S11010227|2026-01-08 11:29:16
|3936|482|SOFTWARE - SEGURIDAD MULTIDISPOSITIVO - ESET - NOD32 MULTIDEVICE - LICENCIA 10 DISPOSITIVOS, 1 AÑO - S11030111|2026-01-08 11:29:16
|3937|13|SOFTWARE - ANTIVIRUS - ESET - NOD32 ANTIVIRUS - LICENCIA PARA 3 EQUIPOS (2025) - S11030191|2026-01-08 11:29:16
|3938|191|SOFTWARE - ANTIVIRUS - ESET - NOD32 ANTIVIRUS - LICENCIA PARA 5 PC (2023) - SIN N/P|2026-01-08 11:29:16
|3939|11|SOFTWARE - SEGURIDAD OFICINAS - KASPERSKY - SMALL OFFICE SECURITY - LICENCIA PARA 10 PCS - SIN N/P|2026-01-08 11:29:16
|3940|474|ACCESORIO FOTOGRÁFICO - LUMINARIA LED - GENÉRICO - GENÉRICO - KIT ARO LED TIK TOK (26CM) + TRIPODE 2.0M, USB 5V - SIN N/P|2026-01-08 11:29:16
|3941|1199|TARJETA DE EXPANSIÓN - TARJETA DE VIDEO - ASUS - DUAL GEFORCE RTX 5050 OC - 8GB GDDR6 128-BIT, PCIE 4.0 - 90YV0N72-M0AA00|2026-01-08 11:29:16
|3942|389|AUDIO - AURICULARES GAMER - CORSAIR - HS35 - AURICULAR CON MICRÓFONO DESMONTABLE, CONECTOR 3.5MM - SIN N/P|2026-01-08 11:29:16
|3943|975|AUDIO - AURICULARES - TEROS - TE-8078R - AURICULAR CONDUCCIÓN ÓSEA, BLUETOOTH, MICRÓFONO INTEGRADO - SIN N/P|2026-01-08 11:29:16
|3944|404|AUDIO - AURICULARES GAMER - HALION - S5 - AURICULAR CON MICRÓFONO, ILUMINACIÓN LED RGB, 3.5MM - SIN N/P|2026-01-08 11:29:16
|3945|7|AUDIO - AURICULARES - GENIUS - GHP-300B - AURICULAR ULTRA DELGADO (ON-EAR), DIADEMA PLEGABLE, ROSA - SIN N/P|2026-01-08 11:29:16
|3946|636|AUDIO - AURICULARES GAMER - HALION - XI5 VIPER - AURICULAR 7.1 VIRTUAL, MICRÓFONO, LED ROJO, USB/3.5MM - SIN N/P|2026-01-08 11:29:16
|3947|195|AUDIO - AURICULARES - HALION - T50 - AURICULAR CON MICRÓFONO INTEGRADO, CONECTOR 3.5MM - SIN N/P|2026-01-08 11:29:16
|3948|942|AUDIO - AURICULARES - TEROS - TE-8033N - AURICULAR INALÁMBRICO, CANCELACIÓN RUIDO (ANC), BLUETOOTH, NEGRO - SIN N/P|2026-01-08 11:29:16
|3949|652|AUDIO - AURICULARES GAMER - KLIP XTREME - KHS-620RD - AURICULAR BLUETOOTH ON-EAR CON MICRÓFONO, LED, ROJO - SIN N/P|2026-01-08 11:29:16
|3950|804|AUDIO - AURICULARES GAMER - KLIP XTREME - KHS-620SV - AURICULAR BLUETOOTH ON-EAR CON MICRÓFONO, LED, PLATA - SIN N/P|2026-01-08 11:29:16
|3951|620|AUDIO - AURICULARES - KLIP XTREME - KSH-270 - AURICULAR CON MICRÓFONO PARA PC, DIADEMA AJUSTABLE, 3.5MM - SIN N/P|2026-01-08 11:29:16
|3952|492|AUDIO - AURICULARES - LOGITECH - H111 - AURICULAR ESTÉREO CON MICRÓFONO, DIADEMA AJUSTABLE, CONECTOR 3.5 MM, COLOR GRIS - 981-000612|2026-01-08 11:51:54
|3953|362|AUDIO - AURICULARES - MICROSOFT - LIFECHAT LX-3000 - AURICULAR CON MICRÓFONO, CONECTOR USB, DIADEMA AJUSTABLE, VOLUMEN EN LÍNEA, PARA OFICINA - JUG-00013|2026-01-08 11:51:54
|3954|725|AUDIO - AURICULARES GAMER - MSI - DS501 - AURICULAR GAMING CON MICRÓFONO, CONTROL DE VOLUMEN, ALMOHADILLAS SUAVES, COLOR NEGRO/ROJO - DS501 GAMING HEADSET|2026-01-08 11:51:54
|3955|282|AUDIO - AURICULARES IN-EAR - PHILIPS - SHE3555 - AURICULAR IN-EAR CON MICRÓFONO, REFUERZO DE GRAVES (BASS), CONECTOR 3.5 MM, COLOR BLANCO - SHE3555WT/00|2026-01-08 11:51:54
|3956|134|AUDIO - AURICULARES DJ - PHILIPS - SHL3060 - AURICULAR DJ SUPRAURAL, SENSIBILIDAD 106 DB, POTENCIA 1000 MW, PARLANTE 32MM, COLOR ROJO, PLEGABLE - SIN N/P|2026-01-08 11:51:54
|3957|372|AUDIO - AURICULARES - PHILIPS - SHB3075 BASS+ - AURICULAR BLUETOOTH SUPRAURAL CON MICRÓFONO, REFUERZO DE GRAVES (BASS+), COLOR BLANCO - SIN N/P|2026-01-08 11:51:54
|3958|371|AUDIO - AURICULARES - PHILIPS - SHB3075 BASS+ - AURICULAR BLUETOOTH SUPRAURAL CON MICRÓFONO, REFUERZO DE GRAVES (BASS+), COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3959|384|AUDIO - AURICULARES IN-EAR - PHILIPS - SHE1405 - AURICULAR IN-EAR CON MICRÓFONO, CONECTOR 3.5 MM, COLOR NEGRO - SHE1405BK/10|2026-01-08 11:51:54
|3960|506|AUDIO - AURICULARES - PHILIPS - SHL3075 BASS+ - AURICULAR CON CABLE Y MICRÓFONO, REFUERZO DE GRAVES (BASS+), SUPRAURAL, COLOR BLANCO - SIN N/P|2026-01-08 11:51:54
|3961|85|AUDIO - AURICULARES - PHILIPS - SHL3075 BASS+ - AURICULAR CON CABLE Y MICRÓFONO, REFUERZO DE GRAVES (BASS+), SUPRAURAL, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3962|373|AUDIO - AURICULARES - PHILIPS - SHL5005BK - AURICULAR CON MICRÓFONO, EXTRA BASS, PLEGABLE, CONECTOR 3.5 MM, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3963|8|AUDIO - AURICULARES - SKILL - 46015-BK - AURICULAR ESTÉREO INALÁMBRICO CON RADIO FM, BANDA PARA CABEZA, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3964|1222|AUDIO - AURICULARES - TEROS - TE-8039CS - AURICULAR CON MICRÓFONO, CONECTOR USB, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3965|657|AUDIO - AURICULARES GAMER - XBLADE - VENOM (GXB-HG8311) - AURICULAR GAMING ESTÉREO CON MICRÓFONO, COLOR NEGRO/ROJO - GXB-HG8311|2026-01-08 11:51:54
|3966|383|AUDIO - AURICULARES GAMER - XBLADE - BANSHEE (GXB-HG8960) - AURICULAR GAMING RGB CON MICRÓFONO, CONECTORES 3.5 MM Y USB - GXB-HG8960|2026-01-08 11:51:54
|3967|490|AUDIO - AURICULARES GAMER - XBLADE - SLAYER 7 LIGHT (GXB-HG8935) - AURICULAR GAMING CON MICRÓFONO, CONECTORES 3.5 MM Y USB, COLOR NEGRO - GXB-HG8935|2026-01-08 11:51:54
|3968|399|AUDIO - AURICULARES GAMER - HALION - HA-H850 - AURICULAR GAMING 7.1 CON MICRÓFONO, ILUMINACIÓN LED, CONECTOR USB - SIN N/P|2026-01-08 11:51:54
|3969|133|AUDIO - AURICULARES GAMER - HP - H100 - AURICULAR GAMING CON MICRÓFONO, DIADEMA AJUSTABLE, CONECTOR 3.5 MM - SIN N/P|2026-01-08 11:51:54
|3970|768|AUDIO - AURICULARES INALÁMBRICOS - JBL - TUNE 125TWS - AURICULAR TRUE WIRELESS IN-EAR, BLUETOOTH, 32H BATERÍA, ESTUCHE DE CARGA - SIN N/P|2026-01-08 11:51:54
|3971|461|AUDIO - AURICULARES GAMER - KINGSTON HYPERX - CLOUD - AURICULAR GAMING CON MICRÓFONO DESMONTABLE, CONECTOR 3.5 MM, COLOR NEGRO/AZUL - HX-HSCLS-BL/AM|2026-01-08 11:51:54
|3972|488|AUDIO - AURICULARES - PHILIPS - SHB4405BK - AURICULAR BLUETOOTH ULTRALIGERO CON MICRÓFONO, SUPRAURAL, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3973|489|AUDIO - AURICULARES - PHILIPS - SHB4405WT - AURICULAR BLUETOOTH ULTRALIGERO CON MICRÓFONO, SUPRAURAL, COLOR BLANCO - SIN N/P|2026-01-08 11:51:54
|3974|487|AUDIO - AURICULARES INALÁMBRICOS - PHILIPS - TAUT102BK - AURICULAR TRUE WIRELESS BLUETOOTH 5.0, ESTUCHE DE CARGA, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
